,Icon,Precipitation,Temperature,Summary
2016-05-15,partly-cloudy-day,0,58.25,Mostly Cloudy
2016-05-21,clear-day,0,73.24,Clear
2016-05-22,partly-cloudy-day,0,63.34,Mostly Cloudy
2016-06-04,partly-cloudy-day,0,80.83,Partly Cloudy
2016-06-05,rain,0.0049,64.88,Drizzle
2016-06-18,clear-day,0,78.43,Clear
2016-06-19,clear-day,0,81.25,Clear
2016-06-23,partly-cloudy-day,0,80.17,Partly Cloudy
2016-07-03,partly-cloudy-day,0,80.29,Partly Cloudy
2016-07-04,partly-cloudy-day,0,85.12,Partly Cloudy
2016-07-09,cloudy,0,63.44,Overcast
2016-07-10,cloudy,0,65.71,Overcast
2016-07-24,partly-cloudy-day,0,85.16,Partly Cloudy
2016-07-27,partly-cloudy-day,0,89.06,Partly Cloudy
2016-08-14,partly-cloudy-day,0,92.03,Humid and Partly Cloudy
2016-08-31,partly-cloudy-day,0,80.81,Partly Cloudy
2016-09-17,partly-cloudy-day,0,74.92,Partly Cloudy
2016-10-02,cloudy,0,55.41,Overcast
2017-04-03,clear-day,0,56.71,Clear
2017-04-13,partly-cloudy-day,0,53.56,Partly Cloudy
2017-04-15,clear-day,0,68.08,Clear
2017-04-16,partly-cloudy-day,0,84.81,Partly Cloudy
2017-04-17,clear-day,0,73.37,Clear
2017-04-29,partly-cloudy-day,0,82.44,Partly Cloudy
2017-05-13,partly-cloudy-day,0,53.97,Mostly Cloudy
2017-05-14,rain,0.0123,47.47,Drizzle
2017-05-27,partly-cloudy-day,0,66.06,Mostly Cloudy
2017-05-28,partly-cloudy-day,0,69.32,Mostly Cloudy
2017-06-25,clear-day,0,82.45,Clear
2017-07-15,partly-cloudy-day,0,73.03,Mostly Cloudy
2017-07-16,clear-day,0,85.12,Clear
2017-07-20,partly-cloudy-day,0,88.6,Mostly Cloudy
2017-07-30,partly-cloudy-day,0,77.07,Partly Cloudy
2017-08-06,clear-day,0,74.35,Clear
2017-08-20,partly-cloudy-day,0,81.68,Partly Cloudy
2017-08-26,partly-cloudy-day,0,72.94,Partly Cloudy
2017-08-27,clear-day,0,74.09,Clear
2017-09-10,partly-cloudy-day,0,70.03,Mostly Cloudy
2017-09-14,partly-cloudy-day,0,80.28,Mostly Cloudy
2017-09-30,cloudy,0.006,55.06,Overcast
2017-10-01,clear-day,0,62.43,Clear
2018-04-05,clear-day,0,39.49,Clear
2018-04-07,partly-cloudy-day,0,42.99,Partly Cloudy
2018-04-08,partly-cloudy-day,0,40.78,Mostly Cloudy
2018-04-14,cloudy,0,52.17,Overcast
2018-04-15,cloudy,0,33.57,Overcast
2018-04-28,partly-cloudy-day,0,69.3,Partly Cloudy
2018-04-29,rain,0.0031,55.47,Possible Drizzle
2018-05-02,clear-day,0,87.67,Clear
2018-05-20,cloudy,0,76.3,Overcast
2018-05-26,clear-day,0,87.46,Clear
2018-05-27,cloudy,0,55.21,Overcast
2018-05-28,cloudy,0,56.33,Overcast
2018-05-30,partly-cloudy-day,0,71.4,Partly Cloudy
2018-06-09,clear-day,0,78.87,Clear
2018-06-10,clear-day,0,72.58,Clear
2018-06-24,cloudy,0,76.3,Overcast
2018-07-14,partly-cloudy-day,0,79.14,Mostly Cloudy
2018-07-15,partly-cloudy-day,0,81.43,Mostly Cloudy
2018-07-29,partly-cloudy-day,0,81.33,Partly Cloudy
2018-08-04,rain,0.1707,73.58,Rain
2018-08-19,partly-cloudy-day,0,71.51,Mostly Cloudy
2018-08-23,partly-cloudy-day,0,72.63,Partly Cloudy
2018-09-08,partly-cloudy-day,0,68.76,Partly Cloudy
2018-09-15,cloudy,0,70.51,Overcast
