GameNo,Tm,D/N,Attendance,API DATE Format
9,BOS,D,33585,2014-04-09
17,BOS,N,36408,2014-04-18
18,BOS,D,37689,2014-04-19
19,BOS,N,33947,2014-04-20
20,BOS,D,37513,2014-04-21
21,BOS,N,37041,2014-04-22
22,BOS,N,37015,2014-04-23
23,BOS,N,37356,2014-04-24
27,BOS,N,34794,2014-04-29
28,BOS,D,35621,2014-05-01
29,BOS,N,33465,2014-05-01
30,BOS,N,34850,2014-05-02
31,BOS,D,37042,2014-05-03
32,BOS,D,35649,2014-05-04
33,BOS,N,36004,2014-05-06
34,BOS,N,37072,2014-05-07
41,BOS,N,37225,2014-05-16
42,BOS,N,37608,2014-05-17
43,BOS,N,35006,2014-05-18
44,BOS,N,37904,2014-05-20
45,BOS,N,36116,2014-05-21
46,BOS,D,36018,2014-05-22
52,BOS,N,36189,2014-05-28
53,BOS,N,36292,2014-05-29
54,BOS,N,35820,2014-05-30
55,BOS,N,37076,2014-05-31
56,BOS,D,37688,2014-06-01
66,BOS,N,37750,2014-06-12
67,BOS,N,35772,2014-06-13
68,BOS,D,37181,2014-06-14
69,BOS,D,37356,2014-06-15
70,BOS,N,35693,2014-06-16
71,BOS,N,36835,2014-06-17
72,BOS,D,36489,2014-06-18
83,BOS,N,37814,2014-06-30
84,BOS,N,36748,2014-07-01
85,BOS,N,37055,2014-07-02
86,BOS,D,35714,2014-07-05
87,BOS,N,36468,2014-07-05
88,BOS,D,35811,2014-07-06
89,BOS,N,35114,2014-07-07
90,BOS,N,35345,2014-07-08
91,BOS,N,36218,2014-07-09
92,BOS,D,37547,2014-07-10
96,BOS,N,37743,2014-07-18
97,BOS,N,37878,2014-07-19
98,BOS,D,37439,2014-07-20
106,BOS,N,37974,2014-07-28
107,BOS,N,38275,2014-07-29
108,BOS,N,38203,2014-07-30
109,BOS,N,37782,2014-08-01
110,BOS,D,37302,2014-08-02
111,BOS,N,38035,2014-08-03
120,BOS,N,38065,2014-08-14
121,BOS,N,37016,2014-08-15
122,BOS,N,37652,2014-08-16
123,BOS,D,36717,2014-08-17
124,BOS,N,35170,2014-08-18
125,BOS,N,35471,2014-08-19
126,BOS,N,35136,2014-08-20
127,BOS,N,36160,2014-08-21
128,BOS,N,36433,2014-08-22
129,BOS,D,36905,2014-08-23
130,BOS,D,37022,2014-08-24
141,BOS,N,35667,2014-09-05
142,BOS,N,36677,2014-09-06
143,BOS,D,36261,2014-09-07
144,BOS,N,35894,2014-09-08
145,BOS,N,37008,2014-09-09
146,BOS,D,35374,2014-09-10
157,BOS,N,35566,2014-09-23
158,BOS,N,35741,2014-09-24
159,BOS,N,36590,2014-09-25
160,BOS,N,37605,2014-09-26
161,BOS,D,37147,2014-09-27
162,BOS,D,36879,2014-09-28
4,CHC,D,38283,2014-04-04
5,CHC,D,30651,2014-04-05
6,CHC,D,26712,2014-04-06
7,CHC,N,26177,2014-04-08
8,CHC,N,28247,2014-04-09
9,CHC,D,25502,2014-04-10
15,CHC,D,28699,2014-04-18
16,CHC,D,32966,2014-04-19
17,CHC,D,27927,2014-04-20
18,CHC,N,32439,2014-04-21
19,CHC,N,35381,2014-04-22
20,CHC,D,32323,2014-04-23
21,CHC,D,33085,2014-04-24
27,CHC,D,28160,2014-05-02
28,CHC,D,37874,2014-05-03
29,CHC,N,30023,2014-05-04
30,CHC,N,33146,2014-05-05
31,CHC,N,34305,2014-05-06
40,CHC,D,35771,2014-05-16
