Team,D/N,Attendance,Date
BOS,N,38540,2013-09-18
BOS,N,36436,2013-09-19
BOS,N,37215,2013-09-20
BOS,N,37569,2013-09-21
BOS,N,35729,2014-04-05
BOS,N,35842,2014-04-07
BOS,N,34142,2014-04-08
BOS,N,36408,2014-04-18
BOS,N,33947,2014-04-20
BOS,N,37041,2014-04-22
BOS,N,37015,2014-04-23
BOS,N,37356,2014-04-24
BOS,N,34794,2014-04-29
BOS,N,33465,2014-05-01
BOS,N,34850,2014-05-02
BOS,N,36004,2014-05-06
BOS,N,37072,2014-05-07
BOS,N,37225,2014-05-16
BOS,N,37608,2014-05-17
BOS,N,35006,2014-05-18
BOS,N,37904,2014-05-20
BOS,N,36116,2014-05-21
BOS,N,36189,2014-05-28
BOS,N,36292,2014-05-29
BOS,N,35820,2014-05-30
BOS,N,37076,2014-05-31
BOS,N,37750,2014-06-12
BOS,N,35772,2014-06-13
BOS,N,35693,2014-06-16
BOS,N,36835,2014-06-17
BOS,N,37814,2014-06-30
BOS,N,36748,2014-07-01
BOS,N,37055,2014-07-02
BOS,N,36468,2014-07-05
BOS,N,35114,2014-07-07
BOS,N,35345,2014-07-08
BOS,N,36218,2014-07-09
BOS,N,37743,2014-07-18
BOS,N,37878,2014-07-19
BOS,N,37974,2014-07-28
BOS,N,38275,2014-07-29
BOS,N,38203,2014-07-30
BOS,N,37782,2014-08-01
BOS,N,38035,2014-08-03
BOS,N,38065,2014-08-14
BOS,N,37016,2014-08-15
BOS,N,37652,2014-08-16
BOS,N,35170,2014-08-18
BOS,N,35471,2014-08-19
BOS,N,35136,2014-08-20
BOS,N,36160,2014-08-21
BOS,N,36433,2014-08-22
BOS,N,35667,2014-09-05
BOS,N,36677,2014-09-06
BOS,N,35894,2014-09-08
BOS,N,37008,2014-09-09
BOS,N,35566,2014-09-23
BOS,N,35741,2014-09-24
BOS,N,36590,2014-09-25
BOS,N,37605,2014-09-26
BOS,N,35258,2015-04-14
BOS,N,34341,2015-04-17
BOS,N,34739,2015-04-27
BOS,N,33920,2015-04-28
BOS,N,34220,2015-04-29
BOS,N,35444,2015-05-01
BOS,N,33198,2015-05-03
BOS,N,34541,2015-05-04
BOS,N,33688,2015-05-05
BOS,N,35060,2015-05-06
BOS,N,36580,2015-05-19
BOS,N,35726,2015-05-20
BOS,N,34945,2015-05-21
BOS,N,36150,2015-05-22
BOS,N,37735,2015-05-23
BOS,N,32622,2015-06-02
BOS,N,33291,2015-06-03
BOS,N,34910,2015-06-05
BOS,N,37575,2015-06-12
BOS,N,34439,2015-06-15
BOS,N,36508,2015-06-23
BOS,N,37762,2015-06-24
BOS,N,37837,2015-07-03
BOS,N,36863,2015-07-07
BOS,N,37009,2015-07-08
BOS,N,37984,2015-07-10
BOS,N,38047,2015-07-11
BOS,N,37650,2015-07-24
BOS,N,35582,2015-07-26
BOS,N,37401,2015-07-27
BOS,N,38063,2015-07-28
BOS,N,37104,2015-07-29
BOS,N,36215,2015-07-30
BOS,N,36715,2015-07-31
BOS,N,37678,2015-08-14
BOS,N,32701,2015-08-17
BOS,N,31907,2015-08-18
BOS,N,32465,2015-08-19
BOS,N,35458,2015-08-20
BOS,N,35203,2015-08-21
BOS,N,37135,2015-08-22
BOS,N,36148,2015-08-31
BOS,N,35077,2015-09-01
BOS,N,33674,2015-09-04
BOS,N,33432,2015-09-08
BOS,N,34464,2015-09-09
BOS,N,33673,2015-09-21
BOS,N,33673,2015-09-22
BOS,N,32753,2015-09-23
BOS,N,34916,2015-09-24
BOS,N,32411,2015-09-25
BOS,N,31114,2016-04-12
BOS,N,31011,2016-04-13
BOS,N,31415,2016-04-15
BOS,N,32061,2016-04-19
BOS,N,31689,2016-04-20
BOS,N,33380,2016-04-27
BOS,N,32232,2016-04-28
BOS,N,37115,2016-04-29
BOS,N,37901,2016-04-30
BOS,N,34279,2016-05-01
BOS,N,35227,2016-05-09
BOS,N,32167,2016-05-10
BOS,N,33283,2016-05-11
BOS,N,34982,2016-05-12
BOS,N,33148,2016-05-13
BOS,N,37354,2016-05-20
BOS,N,36123,2016-05-24
BOS,N,36430,2016-05-25
BOS,N,36162,2016-05-26
BOS,N,37129,2016-06-03
BOS,N,38009,2016-06-14
BOS,N,36233,2016-06-15
BOS,N,36757,2016-06-16
BOS,N,35896,2016-06-17
BOS,N,36291,2016-06-20
BOS,N,36544,2016-06-21
BOS,N,37413,2016-06-22
BOS,N,37117,2016-07-01
BOS,N,36552,2016-07-02
BOS,N,35964,2016-07-05
BOS,N,37175,2016-07-06
BOS,N,37739,2016-07-08
BOS,N,38082,2016-07-19
BOS,N,38201,2016-07-20
BOS,N,37566,2016-07-21
BOS,N,37001,2016-07-22
BOS,N,37600,2016-07-23
BOS,N,37479,2016-07-25
BOS,N,38378,2016-07-26
BOS,N,38089,2016-08-09
BOS,N,37779,2016-08-10
BOS,N,38161,2016-08-11
BOS,N,37555,2016-08-12
BOS,N,37653,2016-08-13
BOS,N,38134,2016-08-26
BOS,N,37933,2016-08-27
BOS,N,37337,2016-08-28
BOS,N,36948,2016-08-29
BOS,N,37083,2016-08-30
BOS,N,37551,2016-09-12
BOS,N,38041,2016-09-13
BOS,N,37973,2016-09-14
BOS,N,37767,2016-09-15
BOS,N,37927,2016-09-16
BOS,N,37306,2016-09-18
BOS,N,37661,2016-09-30
BOS,N,37396,2016-10-01
BOS,N,36137,2017-04-05
BOS,N,37497,2017-04-11
BOS,N,32211,2017-04-12
BOS,N,36813,2017-04-14
BOS,N,32072,2017-04-26
BOS,N,34054,2017-04-27
BOS,N,37054,2017-04-28
BOS,N,36916,2017-04-30
BOS,N,33489,2017-05-01
BOS,N,32932,2017-05-02
BOS,N,33162,2017-05-03
BOS,N,36563,2017-05-04
BOS,N,36496,2017-05-12
BOS,N,34769,2017-05-23
BOS,N,36089,2017-05-24
BOS,N,33484,2017-05-25
BOS,N,35080,2017-05-26
BOS,N,36853,2017-06-09
BOS,N,37162,2017-06-10
BOS,N,35457,2017-06-11
BOS,N,36757,2017-06-12
BOS,N,37141,2017-06-13
BOS,N,37034,2017-06-23
BOS,N,36868,2017-06-24
BOS,N,37172,2017-06-26
BOS,N,36804,2017-06-27
BOS,N,37487,2017-06-28
BOS,N,37445,2017-06-29
BOS,N,37570,2017-07-14
BOS,N,36719,2017-07-16
BOS,N,36144,2017-07-17
BOS,N,36488,2017-07-18
BOS,N,37360,2017-07-19
BOS,N,37321,2017-07-28
BOS,N,36912,2017-07-29
BOS,N,37169,2017-07-31
BOS,N,37126,2017-08-01
BOS,N,37442,2017-08-03
BOS,N,36612,2017-08-04
BOS,N,36599,2017-08-05
BOS,N,37430,2017-08-14
BOS,N,37345,2017-08-15
BOS,N,37181,2017-08-16
BOS,N,36784,2017-08-18
BOS,N,37274,2017-08-19
BOS,N,37191,2017-08-25
BOS,N,34311,2017-09-04
BOS,N,33009,2017-09-05
BOS,N,33190,2017-09-06
BOS,N,34781,2017-09-08
BOS,N,36734,2017-09-09
BOS,N,34355,2017-09-12
BOS,N,36366,2017-09-13
BOS,N,33940,2017-09-25
BOS,N,33999,2017-09-26
BOS,N,34445,2017-09-27
BOS,N,34222,2017-09-28
BOS,N,36623,2017-09-29
BOS,N,32357,2018-04-10
BOS,N,32400,2018-04-11
BOS,N,36341,2018-04-12
BOS,N,32610,2018-04-13
BOS,N,32620,2018-04-27
BOS,N,31314,2018-04-30
BOS,N,34466,2018-05-01
BOS,N,35249,2018-05-14
BOS,N,34906,2018-05-15
BOS,N,34947,2018-05-16
BOS,N,36615,2018-05-17
BOS,N,34935,2018-05-18
BOS,N,34195,2018-05-19
BOS,N,37008,2018-05-25
BOS,N,33380,2018-05-29
BOS,N,34762,2018-06-05
BOS,N,35182,2018-06-06
BOS,N,36556,2018-06-07
BOS,N,36593,2018-06-08
BOS,N,37342,2018-06-22
BOS,N,36051,2018-06-23
BOS,N,37366,2018-06-26
BOS,N,37521,2018-06-27
BOS,N,36992,2018-06-28
BOS,N,36754,2018-07-09
BOS,N,36883,2018-07-10
BOS,N,36920,2018-07-11
BOS,N,37182,2018-07-12
BOS,N,37018,2018-07-13
BOS,N,37439,2018-07-26
BOS,N,37273,2018-07-27
BOS,N,36798,2018-07-28
BOS,N,37722,2018-07-30
BOS,N,37816,2018-07-31
BOS,N,37317,2018-08-02
BOS,N,37231,2018-08-03
BOS,N,37830,2018-08-05
BOS,N,37012,2018-08-17
BOS,N,36654,2018-08-18
BOS,N,37274,2018-08-20
BOS,N,37188,2018-08-21
BOS,N,37107,2018-08-22
BOS,N,36708,2018-08-28
BOS,N,36628,2018-08-29
BOS,N,36930,2018-09-07
BOS,N,32787,2018-09-09
BOS,N,34747,2018-09-11
BOS,N,35178,2018-09-12
BOS,N,36427,2018-09-13
BOS,N,37117,2018-09-14
BOS,N,35619,2018-09-24
BOS,N,34445,2018-09-26
BOS,N,36779,2018-09-28
