GameNo,Tm,D/N,Attendance,API DATE Format
10,CHC,D,40430,2017-04-14
11,CHC,D,41814,2017-04-15
12,CHC,D,39422,2017-04-16
13,CHC,N,38636,2017-04-17
14,CHC,N,39026,2017-04-18
15,CHC,D,34864,2017-04-19
25,CHC,N,38567,2017-05-01
26,CHC,N,38660,2017-05-02
27,CHC,N,39335,2017-05-03
28,CHC,D,36394,2017-05-04
29,CHC,D,40395,2017-05-05
30,CHC,N,40735,2017-05-06
31,CHC,N,40584,2017-05-07
38,CHC,N,40653,2017-05-16
39,CHC,N,38715,2017-05-17
40,CHC,D,36023,2017-05-18
41,CHC,D,36923,2017-05-19
42,CHC,D,41671,2017-05-21
43,CHC,N,36204,2017-05-22
44,CHC,N,32905,2017-05-23
45,CHC,N,35617,2017-05-24
46,CHC,D,37513,2017-05-25
53,CHC,D,41051,2017-06-02
54,CHC,D,41164,2017-06-03
55,CHC,N,39868,2017-06-04
56,CHC,N,34037,2017-06-05
57,CHC,N,34082,2017-06-06
58,CHC,N,37294,2017-06-07
59,CHC,N,39385,2017-06-08
60,CHC,D,41229,2017-06-09
61,CHC,D,41226,2017-06-10
62,CHC,D,41116,2017-06-11
69,CHC,N,40802,2017-06-19
70,CHC,N,41607,2017-06-20
71,CHC,D,41708,2017-06-21
83,CHC,D,42046,2017-07-04
84,CHC,D,39855,2017-07-05
85,CHC,D,41576,2017-07-06
86,CHC,D,41294,2017-07-07
87,CHC,N,41865,2017-07-08
88,CHC,D,41604,2017-07-09
95,CHC,D,42186,2017-07-21
96,CHC,D,41969,2017-07-22
97,CHC,N,41582,2017-07-23
98,CHC,D,40849,2017-07-24
99,CHC,D,40717,2017-07-25
105,CHC,N,40709,2017-08-01
106,CHC,N,41321,2017-08-02
107,CHC,D,39525,2017-08-03
108,CHC,D,41396,2017-08-04
109,CHC,D,41857,2017-08-05
110,CHC,D,41047,2017-08-06
117,CHC,N,40263,2017-08-14
118,CHC,N,36698,2017-08-15
119,CHC,N,37021,2017-08-16
120,CHC,D,38675,2017-08-17
121,CHC,D,41814,2017-08-18
122,CHC,D,41558,2017-08-19
123,CHC,D,41459,2017-08-20
130,CHC,N,38453,2017-08-28
131,CHC,N,37370,2017-08-29
132,CHC,N,36628,2017-08-30
133,CHC,N,38031,2017-08-31
134,CHC,D,37280,2017-09-01
135,CHC,D,41329,2017-09-02
136,CHC,D,42145,2017-09-03
141,CHC,N,41020,2017-09-08
142,CHC,D,41167,2017-09-09
143,CHC,D,40113,2017-09-10
144,CHC,N,37834,2017-09-12
145,CHC,N,36008,2017-09-13
146,CHC,N,37867,2017-09-14
147,CHC,D,38464,2017-09-15
148,CHC,D,40959,2017-09-16
149,CHC,D,37242,2017-09-17
160,CHC,D,36258,2017-09-29
161,CHC,D,41493,2017-09-30
162,CHC,D,40971,2017-10-01
