,Team,D/N,Attendance,Date
312,CHC,D,34273,2015-05-29
313,CHC,D,37766,2015-05-31
314,CHC,D,40016,2015-06-12
315,CHC,D,41498,2015-06-25
316,CHC,D,41212,2015-07-03
317,CHC,D,37764,2015-07-05
318,CHC,D,34368,2015-07-07
319,CHC,D,41580,2015-07-10
320,CHC,D,41596,2015-07-11
321,CHC,D,41688,2015-07-12
322,CHC,D,41230,2015-07-24
323,CHC,D,41683,2015-07-25
324,CHC,D,41123,2015-07-26
325,CHC,D,38874,2015-07-29
326,CHC,D,41311,2015-08-07
327,CHC,D,41305,2015-08-08
328,CHC,D,39939,2015-08-09
329,CHC,D,40799,2015-08-13
330,CHC,D,39211,2015-08-21
331,CHC,D,41196,2015-08-22
332,CHC,D,39581,2015-08-23
333,CHC,D,36283,2015-08-24
334,CHC,D,31165,2015-09-02
335,CHC,D,36132,2015-09-04
336,CHC,D,40690,2015-09-05
337,CHC,D,41183,2015-09-06
338,CHC,D,40846,2015-09-18
339,CHC,D,40994,2015-09-19
340,CHC,D,40962,2015-09-20
341,CHC,D,40432,2015-09-25
342,CHC,D,41150,2015-09-26
343,CHC,D,26814,2016-04-08
344,CHC,D,32138,2016-04-17
345,CHC,D,33958,2016-04-18
346,CHC,D,29113,2016-04-19
347,CHC,D,31128,2016-05-01
348,CHC,D,34878,2016-05-02
349,CHC,D,33398,2016-05-03
350,CHC,D,31496,2016-05-14
351,CHC,D,33617,2016-05-15
352,CHC,D,38883,2016-05-16
353,CHC,D,36289,2016-05-17
354,CHC,D,38463,2016-05-25
355,CHC,D,34273,2016-05-29
356,CHC,D,37766,2016-05-31
357,CHC,D,40016,2016-06-12
358,CHC,D,41498,2016-06-25
359,CHC,D,41212,2016-07-03
360,CHC,D,37764,2016-07-05
361,CHC,D,34368,2016-07-07
362,CHC,D,41580,2016-07-10
363,CHC,D,41596,2016-07-11
364,CHC,D,41688,2016-07-12
365,CHC,D,41230,2016-07-24
366,CHC,D,41683,2016-07-25
367,CHC,D,41123,2016-07-26
368,CHC,D,38874,2016-07-29
369,CHC,D,41311,2016-08-07
370,CHC,D,41305,2016-08-08
371,CHC,D,39939,2016-08-09
372,CHC,D,40799,2016-08-13
373,CHC,D,39211,2016-08-21
374,CHC,D,41196,2016-08-22
375,CHC,D,39581,2016-08-23
376,CHC,D,36283,2016-08-24
377,CHC,D,31165,2016-09-02
378,CHC,D,36132,2016-09-04
379,CHC,D,40690,2016-09-05
380,CHC,D,41183,2016-09-06
381,CHC,D,40846,2016-09-18
382,CHC,D,40994,2016-09-19
383,CHC,D,40962,2016-09-20
384,CHC,D,40432,2016-09-25
385,CHC,D,41150,2016-09-26
386,CHC,D,38379,2017-04-13
387,CHC,D,40430,2017-04-14
388,CHC,D,41814,2017-04-15
389,CHC,D,39422,2017-04-16
390,CHC,D,34864,2017-04-19
391,CHC,D,36394,2017-05-04
392,CHC,D,40395,2017-05-05
393,CHC,D,36023,2017-05-18
394,CHC,D,36923,2017-05-19
395,CHC,D,41671,2017-05-21
396,CHC,D,37513,2017-05-25
397,CHC,D,41051,2017-06-02
398,CHC,D,41164,2017-06-03
399,CHC,D,41229,2017-06-09
400,CHC,D,41226,2017-06-10
401,CHC,D,41116,2017-06-11
402,CHC,D,41708,2017-06-21
403,CHC,D,42046,2017-07-04
404,CHC,D,39855,2017-07-05
405,CHC,D,41576,2017-07-06
406,CHC,D,41294,2017-07-07
407,CHC,D,41604,2017-07-09
408,CHC,D,42186,2017-07-21
409,CHC,D,41969,2017-07-22
410,CHC,D,40849,2017-07-24
411,CHC,D,40717,2017-07-25
412,CHC,D,39525,2017-08-03
413,CHC,D,41396,2017-08-04
414,CHC,D,41857,2017-08-05
415,CHC,D,41047,2017-08-06
416,CHC,D,38675,2017-08-17
417,CHC,D,41814,2017-08-18
418,CHC,D,41558,2017-08-19
419,CHC,D,41459,2017-08-20
420,CHC,D,37280,2017-09-01
421,CHC,D,41329,2017-09-02
422,CHC,D,42145,2017-09-03
423,CHC,D,41167,2017-09-09
424,CHC,D,40113,2017-09-10
425,CHC,D,38464,2017-09-15
426,CHC,D,40959,2017-09-16
427,CHC,D,37242,2017-09-17
428,CHC,D,36258,2017-09-29
429,CHC,D,41493,2017-09-30
430,CHC,D,40971,2017-10-01
431,CHC,D,40144,2018-04-10
432,CHC,D,29949,2018-04-12
433,CHC,D,29775,2018-04-13
434,CHC,D,36788,2018-04-14
435,CHC,D,29648,2018-04-19
436,CHC,D,35579,2018-04-27
437,CHC,D,40147,2018-04-28
