Gm#,Tm,D/N,Attendance,API DATE Format
139,BOS,D,36188,2013-09-02
140,BOS,N,32071,2013-09-03
141,BOS,N,33720,2013-09-04
149,BOS,N,37542,2013-09-13
150,BOS,D,37510,2013-09-14
151,BOS,N,37137,2013-09-15
152,BOS,N,35030,2013-09-17
153,BOS,N,38540,2013-09-18
154,BOS,N,36436,2013-09-19
155,BOS,N,37215,2013-09-20
156,BOS,N,37569,2013-09-21
157,BOS,D,37020,2013-09-22
1,CHC,D,41176,2013-04-05
2,CHC,D,40102,2013-04-07
3,CHC,D,31973,2013-04-08
4,CHC,N,38136,2013-04-09
5,CHC,N,37265,2013-04-10
6,CHC,D,34044,2013-04-11
7,CHC,D,36311,2013-04-12
14,CHC,D,37782,2013-04-20
15,CHC,D,38405,2013-04-21
16,CHC,D,35801,2013-04-22
17,CHC,N,37794,2013-04-23
18,CHC,N,38894,2013-04-24
19,CHC,D,34894,2013-04-25
26,CHC,D,37332,2013-05-04
27,CHC,D,39874,2013-05-05
28,CHC,D,38125,2013-05-06
29,CHC,N,36307,2013-05-07
30,CHC,N,38523,2013-05-08
31,CHC,D,31904,2013-05-09
37,CHC,N,38678,2013-05-16
38,CHC,N,37986,2013-05-17
39,CHC,D,34937,2013-05-18
40,CHC,N,40228,2013-05-19
41,CHC,D,38374,2013-05-20
48,CHC,D,38452,2013-05-28
49,CHC,D,35219,2013-05-29
50,CHC,D,38516,2013-05-30
61,CHC,N,41164,2013-06-12
62,CHC,N,41326,2013-06-13
63,CHC,D,42292,2013-06-14
64,CHC,D,40073,2013-06-15
65,CHC,N,40766,2013-06-16
66,CHC,N,38531,2013-06-17
73,CHC,N,34092,2013-06-25
74,CHC,N,34064,2013-06-26
75,CHC,D,35837,2013-06-27
76,CHC,D,32891,2013-06-29
77,CHC,D,37906,2013-06-30
78,CHC,D,37389,2013-07-01
86,CHC,N,36878,2013-07-13
87,CHC,D,38068,2013-07-14
88,CHC,D,36659,2013-07-15
89,CHC,N,34397,2013-07-17
90,CHC,N,34934,2013-07-18
91,CHC,D,32741,2013-07-19
98,CHC,D,40778,2013-07-27
99,CHC,D,41276,2013-07-28
100,CHC,D,39534,2013-07-29
101,CHC,N,33337,2013-07-30
102,CHC,N,33158,2013-07-31
103,CHC,D,33014,2013-08-01
110,CHC,N,33397,2013-08-09
111,CHC,D,36891,2013-08-10
112,CHC,D,40602,2013-08-11
113,CHC,D,35461,2013-08-12
114,CHC,N,31452,2013-08-13
115,CHC,N,33376,2013-08-14
116,CHC,D,33714,2013-08-15
124,CHC,D,31255,2013-08-24
125,CHC,D,35296,2013-08-25
126,CHC,D,32346,2013-08-26
127,CHC,N,32541,2013-08-27
128,CHC,N,30017,2013-08-28
129,CHC,N,33271,2013-08-29
130,CHC,D,28859,2013-08-30
131,CHC,D,32476,2013-08-31
132,CHC,D,32477,2013-09-01
133,CHC,D,39760,2013-09-02
144,CHC,D,26946,2013-09-14
145,CHC,D,32774,2013-09-15
146,CHC,D,33559,2013-09-16
147,CHC,N,33017,2013-09-17
148,CHC,N,32547,2013-09-18
149,CHC,N,31001,2013-09-19
150,CHC,D,25891,2013-09-20
151,CHC,D,29100,2013-09-21
152,CHC,D,40298,2013-09-22
153,CHC,D,33354,2013-09-23
160,CHC,N,32167,2013-10-01
161,CHC,N,33168,2013-10-02
162,CHC,D,27606,2013-10-03
